"shapeid","ZCTA5CE10","GEOID10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10","DP0010001","DP0010002","DP0010003","DP0010004","DP0010005","DP0010006","DP0010007","DP0010008","DP0010009","DP0010010","DP0010011","DP0010012","DP0010013","DP0010014","DP0010015","DP0010016","DP0010017","DP0010018","DP0010019","DP0010020","DP0010021","DP0010022","DP0010023","DP0010024","DP0010025","DP0010026","DP0010027","DP0010028","DP0010029","DP0010030","DP0010031","DP0010032","DP0010033","DP0010034","DP0010035","DP0010036","DP0010037","DP0010038","DP0010039","DP0010040","DP0010041","DP0010042","DP0010043","DP0010044","DP0010045","DP0010046","DP0010047","DP0010048","DP0010049","DP0010050","DP0010051","DP0010052","DP0010053","DP0010054","DP0010055","DP0010056","DP0010057","DP0020001","DP0020002","DP0020003","DP0030001","DP0030002","DP0030003","DP0040001","DP0040002","DP0040003","DP0050001","DP0050002","DP0050003","DP0060001","DP0060002","DP0060003","DP0070001","DP0070002","DP0070003","DP0080001","DP0080002","DP0080003","DP0080004","DP0080005","DP0080006","DP0080007","DP0080008","DP0080009","DP0080010","DP0080011","DP0080012","DP0080013","DP0080014","DP0080015","DP0080016","DP0080017","DP0080018","DP0080019","DP0080020","DP0080021","DP0080022","DP0080023","DP0080024","DP0090001","DP0090002","DP0090003","DP0090004","DP0090005","DP0090006","DP0100001","DP0100002","DP0100003","DP0100004","DP0100005","DP0100006","DP0100007","DP0110001","DP0110002","DP0110003","DP0110004","DP0110005","DP0110006","DP0110007","DP0110008","DP0110009","DP0110010","DP0110011","DP0110012","DP0110013","DP0110014","DP0110015","DP0110016","DP0110017","DP0120001","DP0120002","DP0120003","DP0120004","DP0120005","DP0120006","DP0120007","DP0120008","DP0120009","DP0120010","DP0120011","DP0120012","DP0120013","DP0120014","DP0120015","DP0120016","DP0120017","DP0120018","DP0120019","DP0120020","DP0130001","DP0130002","DP0130003","DP0130004","DP0130005","DP0130006","DP0130007","DP0130008","DP0130009","DP0130010","DP0130011","DP0130012","DP0130013","DP0130014","DP0130015","DP0140001","DP0150001","DP0160001","DP0170001","DP0180001","DP0180002","DP0180003","DP0180004","DP0180005","DP0180006","DP0180007","DP0180008","DP0180009","DP0190001","DP0200001","DP0210001","DP0210002","DP0210003","DP0220001","DP0220002","DP0230001","DP0230002","Shape_Leng","Shape_Area"
"83.1","77054","77054","14473863.0","62849.0","+29.6802499","-095.4049131","22290","1332","615","445","571","3935","5194","3253","1757","1126","923","989","766","586","307","126","90","91","184","10707","663","315","217","285","1749","2477","1736","906","583","434","429","342","262","140","54","40","31","44","11583","669","300","228","286","2186","2717","1517","851","543","489","560","424","324","167","72","50","60","140","28.9","29.2","28.7","19807","9459","10348","19640","9367","10273","18948","9055","9893","1132","467","665","798","309","489","22290","21717","6847","8014","65","6067","2196","2161","510","69","243","416","472","14","8","1","1","4","710","573","30","180","86","52","7245","8238","177","6370","40","852","22290","2364","1461","185","51","667","19926","22290","2364","1413","125","26","21","0","660","119","19926","5434","7889","39","6046","14","50","454","22290","21185","12181","2465","2904","2316","1126","222","116","2509","32","15","710","1105","100","44","56","1005","467","538","12181","4080","1619","2465","892","413","135","1202","592","8101","6269","2966","119","3303","242","1775","641","1.74","2.59","14173","12181","1992","1470","38","153","11","134","186","6.5","12.8","12181","2186","9995","3898","17287","1.78","1.73","0.25899870704","0.00135486465"
"84.0","77055","77055","21648620.0","5250.0","+29.7968706","-095.4916500","41989","3684","3493","3015","2838","2995","3600","3414","3178","2831","2768","2811","2212","1665","1094","753","620","532","486","21904","1883","1805","1503","1492","1758","2038","1867","1727","1503","1493","1422","1109","801","550","335","262","192","164","20085","1801","1688","1512","1346","1237","1562","1547","1451","1328","1275","1389","1103","864","544","418","358","340","322","31.9","31.1","32.8","31226","16423","14803","30107","15857","14250","28426","14900","13526","4433","1943","2490","3485","1503","1982","41989","40407","27708","1559","359","1492","178","198","74","34","232","559","217","16","7","5","1","3","9273","1582","124","150","122","917","29064","1786","598","1713","65","10393","41989","24947","19102","150","142","5553","17042","41989","24947","13935","204","290","35","9","9208","1266","17042","13773","1355","69","1457","7","65","316","41989","41480","14152","6309","13268","10321","4284","1380","343","3467","168","84","1051","509","331","133","198","178","96","82","14152","9487","5063","6309","3425","1192","520","1986","1118","4665","3446","1691","301","1755","670","5636","2564","2.93","3.52","16005","14152","1853","1415","28","119","38","53","200","1.8","15.4","14152","6382","7770","16829","24651","2.64","3.17","0.34842577571","0.00202050623"
"84.1","77055","77055","21648620.0","5250.0","+29.7968706","-095.4916500","41989","3684","3493","3015","2838","2995","3600","3414","3178","2831","2768","2811","2212","1665","1094","753","620","532","486","21904","1883","1805","1503","1492","1758","2038","1867","1727","1503","1493","1422","1109","801","550","335","262","192","164","20085","1801","1688","1512","1346","1237","1562","1547","1451","1328","1275","1389","1103","864","544","418","358","340","322","31.9","31.1","32.8","31226","16423","14803","30107","15857","14250","28426","14900","13526","4433","1943","2490","3485","1503","1982","41989","40407","27708","1559","359","1492","178","198","74","34","232","559","217","16","7","5","1","3","9273","1582","124","150","122","917","29064","1786","598","1713","65","10393","41989","24947","19102","150","142","5553","17042","41989","24947","13935","204","290","35","9","9208","1266","17042","13773","1355","69","1457","7","65","316","41989","41480","14152","6309","13268","10321","4284","1380","343","3467","168","84","1051","509","331","133","198","178","96","82","14152","9487","5063","6309","3425","1192","520","1986","1118","4665","3446","1691","301","1755","670","5636","2564","2.93","3.52","16005","14152","1853","1415","28","119","38","53","200","1.8","15.4","14152","6382","7770","16829","24651","2.64","3.17","0.34842577571","0.00202050623"
"84.2","77055","77055","21648620.0","5250.0","+29.7968706","-095.4916500","41989","3684","3493","3015","2838","2995","3600","3414","3178","2831","2768","2811","2212","1665","1094","753","620","532","486","21904","1883","1805","1503","1492","1758","2038","1867","1727","1503","1493","1422","1109","801","550","335","262","192","164","20085","1801","1688","1512","1346","1237","1562","1547","1451","1328","1275","1389","1103","864","544","418","358","340","322","31.9","31.1","32.8","31226","16423","14803","30107","15857","14250","28426","14900","13526","4433","1943","2490","3485","1503","1982","41989","40407","27708","1559","359","1492","178","198","74","34","232","559","217","16","7","5","1","3","9273","1582","124","150","122","917","29064","1786","598","1713","65","10393","41989","24947","19102","150","142","5553","17042","41989","24947","13935","204","290","35","9","9208","1266","17042","13773","1355","69","1457","7","65","316","41989","41480","14152","6309","13268","10321","4284","1380","343","3467","168","84","1051","509","331","133","198","178","96","82","14152","9487","5063","6309","3425","1192","520","1986","1118","4665","3446","1691","301","1755","670","5636","2564","2.93","3.52","16005","14152","1853","1415","28","119","38","53","200","1.8","15.4","14152","6382","7770","16829","24651","2.64","3.17","0.34842577571","0.00202050623"
"85","77056","77056","8960556.0","34523.0","+29.7482020","-095.4689478","18673","778","597","541","509","1137","2380","1726","1334","1111","1165","1319","1430","1360","969","674","504","470","669","9323","408","311","269","246","506","1249","936","711","577","597","666","691","703","483","332","254","186","198","9350","370","286","272","263","631","1131","790","623","534","568","653","739","657","486","342","250","284","471","41.3","40.2","42.7","16654","8282","8372","16438","8179","8259","16149","8044","8105","4092","1884","2208","3286","1453","1833","18673","18250","14592","879","37","2183","1018","439","103","71","72","207","273","3","2","0","1","0","556","423","51","159","58","65","14948","972","113","2395","17","673","18673","2536","1425","72","84","955","16137","18673","2536","1870","22","15","10","0","503","116","16137","12722","857","22","2173","3","53","307","18673","18551","10372","3742","2822","2147","499","80","118","1116","7","37","460","122","115","28","87","7","5","2","10372","4430","1305","3742","1020","230","71","458","214","5942","5065","2509","320","2556","807","1362","2395","1.79","2.59","12270","10372","1898","731","127","192","65","585","198","4.0","10.9","10372","4507","5865","9326","9225","2.07","1.57","0.16019503122","0.00083891938"
"86","77057","77057","11040817.0","8379.0","+29.7440813","-095.4879742","39208","2686","1855","1365","1471","3619","5689","4475","3338","2768","2177","2126","1978","1874","1291","848","639","504","505","20586","1398","945","669","853","2018","3159","2550","1879","1548","1130","1030","907","835","599","402","272","210","182","18622","1288","910","696","618","1601","2530","1925","1459","1220","1047","1096","1071","1039","692","446","367","294","323","33.1","32.2","34.2","33066","17460","15606","32547","17152","15395","31287","16385","14902","4889","2146","2743","3787","1665","2122","39208","37770","26906","2944","1072","2452","846","533","158","86","127","270","432","31","9","11","2","9","4365","1438","120","295","115","587","28107","3172","1346","2876","78","5158","39208","14241","6413","191","141","7496","24967","39208","14241","7939","155","1004","22","19","4257","845","24967","18967","2789","68","2430","12","108","593","39208","39110","19756","5636","7197","5978","2718","503","208","3803","156","77","1166","98","98","31","67","0","0","0","19756","8123","3460","5636","2353","1089","326","1398","781","11633","9664","4641","498","5023","1059","3779","2982","1.98","2.91","22694","19756","2938","2018","105","231","35","292","257","3.3","13.3","19756","6748","13008","12922","26188","1.91","2.01","0.1745966296","0.00103046468"
"87","77058","77058","21368323.0","2418306.0","+29.5615788","-095.0996259","16406","957","689","652","732","1713","1952","1300","1124","1020","1104","1243","1054","899","678","513","358","240","178","8150","495","368","340","361","867","1019","676","576","518","525","607","512","420","314","231","147","119","55","8256","462","321","312","371","846","933","624","548","502","579","636","542","479","364","282","211","121","123","35.9","34.6","37.4","13986","6891","7095","13726","6761","6965","13178","6498","6680","2486","1122","1364","1967","866","1101","16406","15845","11898","1210","112","1776","724","229","107","59","62","225","370","22","4","9","0","9","827","561","74","91","95","136","12334","1393","256","1933","45","1048","16406","3155","1994","93","70","998","13251","16406","3155","2050","32","40","8","6","804","215","13251","9848","1178","72","1768","16","23","346","16406","16402","8558","2578","3089","2390","783","237","90","1394","49","45","623","4","0","0","0","4","2","2","8558","3770","1554","2578","864","322","168","870","522","4788","3936","2011","225","1925","470","1711","1512","1.92","2.71","9667","8558","1109","749","39","123","14","85","99","3.9","11.8","8558","3014","5544","5742","10660","1.91","1.92","0.26405728144","0.00221444189"
"88","77059","77059","25487509.0","265021.0","+29.6136024","-095.1193698","16949","719","1153","1771","1603","583","446","492","770","1356","1953","1923","1373","1007","779","469","304","156","92","8488","365","619","925","837","329","217","230","322","599","922","968","721","521","390","252","156","80","35","8461","354","534","846","766","254","229","262","448","757","1031","955","652","486","389","217","148","76","57","43.7","43.7","43.7","12941","6390","6551","12145","5976","6169","11582","5673","5909","2374","1215","1159","1800","913","887","16949","16556","12731","467","68","3057","1082","829","73","91","79","432","471","3","0","1","0","2","230","393","41","182","37","46","13061","526","121","3305","19","335","16949","1476","874","129","77","396","15473","16949","1476","1174","11","22","7","1","192","69","15473","11557","456","46","3050","2","38","324","16949","16949","5625","4506","5955","4628","612","155","224","251","21","15","108","0","0","0","0","0","0","0","5625","4961","2502","4506","2250","137","82","318","170","664","558","260","71","298","119","2599","1204","3.01","3.23","5724","5625","99","15","0","47","4","7","26","0.9","5.9","5625","5385","240","16131","818","3.0","3.41","0.29679629873","0.00239850197"
"89","77060","77060","21298928.0","24543.0","+29.9346945","-095.3948721","40830","4992","3933","3056","3242","4304","4257","3630","2964","2476","2142","1859","1335","1026","633","428","303","160","90","21072","2580","2018","1574","1642","2225","2288","1978","1566","1265","1136","935","675","474","305","180","129","73","29","19758","2412","1915","1482","1600","2079","1969","1652","1398","1211","1006","924","660","552","328","248","174","87","61","26.0","26.1","26.0","28247","14617","13630","26997","13968","13029","24799","12839","11960","2187","980","1207","1614","716","898","40830","39109","18045","8844","468","258","67","8","38","3","7","80","55","15","0","6","1","8","11479","1721","40","32","117","1170","19476","9168","690","368","56","12895","40830","29220","21481","139","144","7456","11610","40830","29220","15499","343","422","39","2","11422","1493","11610","2546","8501","46","219","13","57","228","40830","40827","13035","4877","14840","11740","5022","1884","289","3053","187","32","1303","3","0","0","0","3","2","1","13035","9035","5810","4877","3167","1326","643","2832","2000","4000","3164","1786","155","1378","254","6560","1309","3.13","3.74","15562","13035","2527","2140","63","52","8","31","233","1.6","17.9","13035","3282","9753","12865","27962","3.92","2.87","0.2792434712","0.00199236675"
"89.ring1","77060","77060","21298928.0","24543.0","+29.9346945","-095.3948721","40830","4992","3933","3056","3242","4304","4257","3630","2964","2476","2142","1859","1335","1026","633","428","303","160","90","21072","2580","2018","1574","1642","2225","2288","1978","1566","1265","1136","935","675","474","305","180","129","73","29","19758","2412","1915","1482","1600","2079","1969","1652","1398","1211","1006","924","660","552","328","248","174","87","61","26.0","26.1","26.0","28247","14617","13630","26997","13968","13029","24799","12839","11960","2187","980","1207","1614","716","898","40830","39109","18045","8844","468","258","67","8","38","3","7","80","55","15","0","6","1","8","11479","1721","40","32","117","1170","19476","9168","690","368","56","12895","40830","29220","21481","139","144","7456","11610","40830","29220","15499","343","422","39","2","11422","1493","11610","2546","8501","46","219","13","57","228","40830","40827","13035","4877","14840","11740","5022","1884","289","3053","187","32","1303","3","0","0","0","3","2","1","13035","9035","5810","4877","3167","1326","643","2832","2000","4000","3164","1786","155","1378","254","6560","1309","3.13","3.74","15562","13035","2527","2140","63","52","8","31","233","1.6","17.9","13035","3282","9753","12865","27962","3.92","2.87","0.2792434712","0.00199236675"
"90","77061","77061","20508214.0","120868.0","+29.6470119","-095.2766302","24457","2467","2020","1734","1835","2144","2204","1893","1809","1558","1462","1514","1246","876","605","363","287","231","209","12539","1262","1046","893","944","1126","1161","1050","950","815","716","739","606","450","325","167","119","92","78","11918","1205","974","841","891","1018","1043","843","859","743","746","775","640","426","280","196","168","139","131","29.6","29.3","29.9","17862","9142","8720","17171","8789","8382","15987","8179","7808","2178","1033","1145","1695","781","914","24457","23696","11020","5152","174","1319","38","34","35","8","16","1136","52","8","4","0","0","4","6023","761","35","24","52","453","11604","5329","277","1389","45","6601","24457","15604","12061","88","27","3428","8853","24457","15604","8613","221","145","19","4","5977","625","8853","2407","4931","29","1300","4","46","136","24457","24457","8312","3349","8287","6108","2742","1032","246","1767","137","41","783","0","0","0","0","0","0","0","8312","5715","3144","3349","1797","800","385","1566","962","2597","1989","1086","147","903","276","3630","1338","2.94","3.52","9555","8312","1243","926","11","75","15","21","195","2.3","15.3","8312","3182","5130","9951","14506","3.13","2.83","0.26293366654","0.00192218223"
